Age,BusinessTravel,Department,DistanceFromHome,Education,EnvironmentSatisfaction,Gender,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,NumCompaniesWorked,OverTime,YearsAtCompany,EmployeeCount,Over18,StandardHours,EmployeeNumber,StockOptionLevel,Attrition
41,Travel_Rarely,Sales,1,2,2,Female,2,Sales Executive,4,Single,5993,8,Yes,6,1,Y,80,1,0,Yes
49,Travel_Frequently,Research & Development,8,1,3,Male,2,Research Scientist,2,Married,5130,1,No,10,1,Y,80,2,1,No
37,Travel_Rarely,Research & Development,2,2,4,Male,1,Laboratory Technician,3,Single,2090,6,Yes,0,1,Y,80,4,0,Yes
33,Travel_Frequently,Research & Development,3,4,4,Female,1,Research Scientist,3,Married,2909,1,Yes,8,1,Y,80,5,0,No
27,Travel_Rarely,Research & Development,2,1,1,Male,1,Laboratory Technician,2,Married,3468,9,No,2,1,Y,80,7,1,No
32,Travel_Frequently,Research & Development,2,2,4,Male,1,Laboratory Technician,4,Single,3068,0,No,7,1,Y,80,8,0,No
59,Travel_Rarely,Research & Development,3,3,3,Female,1,Laboratory Technician,1,Married,2670,4,Yes,1,1,Y,80,10,3,No
30,Travel_Rarely,Research & Development,24,1,4,Male,1,Laboratory Technician,3,Divorced,2693,1,No,1,1,Y,80,11,1,No
38,Travel_Frequently,Research & Development,23,3,4,Male,3,Manufacturing Director,3,Single,9526,0,No,9,1,Y,80,12,0,No
36,Travel_Rarely,Research & Development,27,3,3,Male,2,Healthcare Representative,3,Married,5237,6,No,7,1,Y,80,13,2,No
35,Travel_Rarely,Research & Development,16,3,1,Male,1,Laboratory Technician,2,Married,2426,0,No,5,1,Y,80,14,1,No
29,Travel_Rarely,Research & Development,15,2,4,Female,2,Laboratory Technician,3,Single,4193,0,Yes,9,1,Y,80,15,0,No
31,Travel_Rarely,Research & Development,26,1,1,Male,1,Research Scientist,3,Divorced,2911,1,No,5,1,Y,80,16,1,No
34,Travel_Rarely,Research & Development,19,2,2,Male,1,Laboratory Technician,4,Divorced,2661,0,No,2,1,Y,80,18,1,No
28,Travel_Rarely,Research & Development,24,3,3,Male,1,Laboratory Technician,3,Single,2028,5,Yes,4,1,Y,80,19,0,Yes
29,Travel_Rarely,Research & Development,21,4,2,Female,3,Manufacturing Director,1,Divorced,9980,1,No,10,1,Y,80,20,1,No
32,Travel_Rarely,Research & Development,5,2,1,Male,1,Research Scientist,2,Divorced,3298,0,Yes,6,1,Y,80,21,2,No
22,Non-Travel,Research & Development,16,2,4,Male,1,Laboratory Technician,4,Divorced,2935,1,Yes,1,1,Y,80,22,2,No
53,Travel_Rarely,Sales,2,4,1,Female,4,Manager,4,Married,15427,2,No,25,1,Y,80,23,0,No
38,Travel_Rarely,Research & Development,2,3,4,Male,1,Research Scientist,4,Single,3944,5,Yes,3,1,Y,80,24,0,No
24,Non-Travel,Research & Development,11,2,1,Female,2,Manufacturing Director,3,Divorced,4011,0,No,4,1,Y,80,26,1,No
36,Travel_Rarely,Sales,9,4,3,Male,1,Sales Representative,1,Single,3407,7,No,5,1,Y,80,27,0,Yes
34,Travel_Rarely,Research & Development,7,4,1,Female,3,Research Director,2,Single,11994,0,No,12,1,Y,80,28,0,No
21,Travel_Rarely,Research & Development,15,2,3,Male,1,Research Scientist,4,Single,1232,1,No,0,1,Y,80,30,0,No
34,Travel_Rarely,Research & Development,6,1,2,Male,1,Research Scientist,1,Single,2960,2,No,4,1,Y,80,31,0,Yes
53,Travel_Rarely,Research & Development,5,3,3,Female,5,Manager,3,Divorced,19094,4,No,14,1,Y,80,32,1,No
32,Travel_Frequently,Research & Development,16,1,2,Female,1,Research Scientist,1,Single,3919,1,Yes,10,1,Y,80,33,0,Yes
42,Travel_Rarely,Sales,8,4,3,Male,2,Sales Executive,2,Married,6825,0,No,9,1,Y,80,35,1,No
44,Travel_Rarely,Research & Development,7,4,1,Female,3,Healthcare Representative,4,Married,10248,3,No,22,1,Y,80,36,1,No
46,Travel_Rarely,Sales,2,4,2,Female,5,Manager,1,Single,18947,3,No,2,1,Y,80,38,0,No
33,Travel_Rarely,Research & Development,2,3,3,Male,1,Laboratory Technician,4,Single,2496,4,No,1,1,Y,80,39,0,No
44,Travel_Rarely,Research & Development,10,4,4,Male,2,Healthcare Representative,4,Married,6465,2,Yes,4,1,Y,80,40,0,No
30,Travel_Rarely,Research & Development,9,2,4,Male,1,Laboratory Technician,3,Single,2206,1,No,10,1,Y,80,41,0,No
39,Travel_Rarely,Sales,5,3,4,Male,2,Sales Representative,4,Married,2086,3,No,1,1,Y,80,42,1,Yes
24,Travel_Rarely,Research & Development,1,3,2,Male,1,Research Scientist,4,Married,2293,2,Yes,2,1,Y,80,45,1,Yes
43,Travel_Rarely,Research & Development,2,2,4,Female,1,Research Scientist,3,Divorced,2645,1,No,5,1,Y,80,46,2,No
50,Travel_Rarely,Sales,3,2,1,Male,1,Sales Representative,3,Married,2683,1,Yes,3,1,Y,80,47,0,Yes
35,Travel_Rarely,Sales,2,3,4,Female,1,Sales Representative,4,Married,2014,1,No,2,1,Y,80,49,0,No
36,Travel_Rarely,Research & Development,5,4,2,Female,1,Research Scientist,1,Married,3419,9,Yes,1,1,Y,80,51,1,No
33,Travel_Frequently,Sales,1,3,3,Female,2,Sales Executive,1,Married,5376,2,No,5,1,Y,80,52,2,No
35,Travel_Rarely,Research & Development,4,2,3,Male,1,Laboratory Technician,4,Divorced,1951,1,No,1,1,Y,80,53,1,No
27,Travel_Rarely,Research & Development,2,4,4,Female,1,Laboratory Technician,1,Divorced,2341,1,No,1,1,Y,80,54,1,No
26,Travel_Rarely,Research & Development,25,3,1,Male,1,Laboratory Technician,3,Single,2293,1,No,1,1,Y,80,55,0,Yes
27,Travel_Frequently,Sales,8,3,4,Male,3,Sales Executive,3,Single,8726,1,No,9,1,Y,80,56,0,No
30,Travel_Frequently,Research & Development,1,2,3,Female,2,Laboratory Technician,4,Single,4011,1,No,12,1,Y,80,57,0,No
41,Travel_Rarely,Research & Development,12,3,2,Female,5,Research Director,3,Married,19545,1,No,22,1,Y,80,58,0,Yes
34,Non-Travel,Sales,23,4,2,Male,2,Sales Executive,3,Single,4568,0,No,9,1,Y,80,60,0,No
37,Travel_Rarely,Research & Development,19,2,2,Male,1,Research Scientist,2,Married,3022,4,No,1,1,Y,80,61,0,No
46,Travel_Frequently,Sales,5,4,1,Male,2,Sales Executive,4,Single,5772,4,Yes,9,1,Y,80,62,0,No
35,Travel_Rarely,Research & Development,8,1,4,Male,1,Laboratory Technician,4,Married,2269,1,No,1,1,Y,80,63,0,No
48,Travel_Rarely,Research & Development,1,2,1,Male,3,Laboratory Technician,3,Single,5381,9,Yes,1,1,Y,80,64,0,Yes
28,Travel_Rarely,Research & Development,5,4,3,Male,1,Laboratory Technician,3,Single,3441,1,Yes,2,1,Y,80,65,0,Yes
44,Travel_Rarely,Sales,1,5,2,Female,2,Sales Executive,1,Divorced,5454,5,Yes,4,1,Y,80,68,1,No
35,Non-Travel,Research & Development,11,2,3,Male,3,Healthcare Representative,1,Married,9884,2,Yes,4,1,Y,80,70,1,No
26,Travel_Rarely,Sales,23,3,3,Female,2,Sales Executive,4,Married,4157,7,Yes,2,1,Y,80,72,1,No
33,Travel_Frequently,Research & Development,1,2,1,Female,3,Research Director,4,Single,13458,1,Yes,15,1,Y,80,73,0,No
35,Travel_Frequently,Sales,18,5,2,Male,3,Sales Executive,1,Married,9069,1,No,9,1,Y,80,74,1,No
